quarter,Categ_name,cci,DI,CS,GT,vix,3m Bond,CPI
2011Q2,Water Supply & Treatment: 1349,-20.83333333333333,5943,1028,-1.6666666666666607,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Baked Goods: 907,-20.83333333333333,5943,3284,-1.3333333333333357,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Small Kitchen Appliances: 1292,-20.83333333333333,5943,301,-7.666666666666686,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Electricity: 658,-20.83333333333333,5943,3353,-8.333333333333329,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Motorcycles: 273,-20.83333333333333,5943,136,7.333333333333314,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Restaurants: 276,-20.83333333333333,5943,17819,-1.3333333333333286,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Candy & Sweets: 906,-20.83333333333333,5943,2242,1.6666666666666856,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Health Insurance: 249,-20.83333333333333,5943,592,4.333333333333343,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Mail & Package Delivery: 1150,-20.83333333333333,5943,190,-1.6666666666666572,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Drugs & Medications: 646,-20.83333333333333,5943,1314,-3.0,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Vehicle Maintenance: 138,-20.83333333333333,5943,5015,-3.6666666666666714,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Animal Products & Services: 882,-20.83333333333333,5943,1072,-2.0,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Auto Insurance: 467,-20.83333333333333,5943,937,-3.3333333333333144,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Tobacco Products: 123,-20.83333333333333,5943,4559,-4.0,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Liquor: 406,-20.83333333333333,5943,1119,1.3333333333333215,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Automotive Industry: 1190,-20.83333333333333,5943,8716,-3.0,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Mobile & Wireless: 382,-20.83333333333333,5943,196,-2.6666666666666714,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Home Furnishings: 270,-20.83333333333333,5943,2998,-9.333333333333343,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Sporting Goods: 263,-20.83333333333333,5943,765,11.666666666666657,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Vehicle Fuels & Lubricants: 1269,-20.83333333333333,5943,8923,-2.666666666666657,-2.406666666666668,-0.031333333333333324,1.5
2011Q2,Hotels & Accommodations: 179,-20.83333333333333,5943,3967,0.3333333333333428,-2.406666666666668,-0.031333333333333324,1.5
